KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610400002,26,104,00,002,16.82,135.63,2.0,69.88,0.37,5.29,263.77,538.83,15.03
2610500001,26,105,00,001,16.48,133.72,1.99,67.9,0.37,5.3,257.0,549.9,14.99
2610500002,26,105,00,002,16.46,132.25,2.02,65.78,0.37,5.33,252.11,538.67,15.22
2610600001,26,106,00,001,16.86,135.88,2.02,67.85,0.37,5.31,257.63,542.47,15.08
2610600002,26,106,00,002,16.84,135.76,2.01,68.86,0.37,5.3,260.7,540.65,15.05
2610600003,26,106,00,003,16.87,136.6,2.04,69.37,0.37,5.29,262.24,539.74,15.04
2610600004,26,106,00,004,16.87,136.52,2.04,69.12,0.37,5.29,261.47,540.19,15.04
2610600005,26,106,00,005,16.87,136.09,2.05,68.61,0.37,5.3,259.93,541.1,15.06
2610600006,26,106,00,006,16.89,137.19,2.08,69.03,0.37,5.29,261.21,540.34,15.05
2610701001,26,107,01,001,16.85,133.67,2.06,67.85,0.37,5.31,257.63,542.47,15.08
2610701002,26,107,01,002,16.72,133.93,2.03,67.16,0.37,5.32,255.79,541.2,15.13
2610701003,26,107,01,003,16.68,133.28,2.03,66.93,0.37,5.32,255.18,540.78,15.14
2610701004,26,107,01,004,16.61,132.73,2.04,67.03,0.37,5.34,255.19,540.22,15.19
2610701005,26,107,01,005,16.86,134.89,2.05,67.85,0.37,5.31,257.63,542.47,15.08
2610701006,26,107,01,006,16.85,134.28,2.05,67.85,0.37,5.31,257.63,542.47,15.08
2610701007,26,107,01,007,16.81,134.09,2.06,67.64,0.37,5.32,257.02,541.91,15.11
2610701008,26,107,01,008,16.88,135.1,2.07,68.2,0.37,5.31,258.68,541.66,15.08
2610701009,26,107,01,009,16.8,137.03,2.1,80.0,0.31,5.7,275.0,528.0,16.86
2610701010,26,107,01,010,16.73,135.92,2.12,80.0,0.31,5.7,275.0,528.0,16.86
2610701011,26,107,01,011,16.81,135.66,2.11,80.0,0.31,5.7,275.0,528.0,16.86
2610701012,26,107,01,012,16.85,134.9,2.12,79.33,0.31,5.63,275.33,523.67,16.86
2610701013,26,107,01,013,16.78,134.44,2.11,79.66,0.32,5.71,259.16,520.34,16.91
2610701014,26,107,01,014,16.8,134.67,2.12,79.5,0.32,5.67,267.25,522.0,16.88
2610701015,26,107,01,015,16.79,134.66,2.12,80.7,0.32,5.72,258.48,517.94,16.91
2610701016,26,107,01,016,16.65,134.34,2.12,80.0,0.32,5.8,243.0,517.0,16.97
2610701017,26,107,01,017,16.83,136.39,2.1,75.45,0.33,5.54,268.98,533.2,16.14
2610701018,26,107,01,018,16.83,135.17,2.11,79.5,0.32,5.67,267.25,522.0,16.88
2610701019,26,107,01,019,16.84,134.94,2.1,75.79,0.34,5.56,261.7,528.0,16.29
2610701020,26,107,01,020,16.87,136.16,2.1,76.38,0.33,5.57,267.82,529.42,16.35
2610701021,26,107,01,021,16.83,133.84,2.08,70.98,0.36,5.44,257.93,535.18,15.65
2610701022,26,107,01,022,16.65,133.04,2.07,69.27,0.37,5.42,256.88,537.07,15.48
2610701023,26,107,01,023,16.74,134.07,2.1,74.98,0.34,5.59,254.24,527.4,16.25
2610701024,26,107,01,024,16.77,133.85,2.09,,,,,,
2610701025,26,107,01,025,16.78,134.7,2.1,72.12,0.35,5.5,255.56,532.24,15.87
2610701026,26,107,01,026,16.75,133.63,2.09,,,,,,
2610701027,26,107,01,027,16.72,134.04,2.1,83.4,0.33,5.78,252.18,533.31,16.8
